,usertoken,choiceModel,choice,choiceAbsError,credChoice,accName,condition_emotion,condition_showImage
0,MFBfaMCt,last choice,0.6818628270723853,0.07332479967546546,0.7551876267478508,CNNPolitics,angry,True
1,MFBfaMCt,first choice,0.4966528480479733,0.25853477869987745,0.7551876267478508,CNNPolitics,angry,True
2,MFBfaMCt,mean choice,0.6180434849025278,0.13714414184532298,0.7551876267478508,CNNPolitics,angry,True
3,MFBfaMCt,lastChoiceWeighted,0.6521237439124961,0.10306388283535473,0.7551876267478508,CNNPolitics,angry,True
4,MFBfaMCt,firstChoiceWeighted,0.582015782520561,0.17317184422728982,0.7551876267478508,CNNPolitics,angry,True
5,MFBfaMCt,last choice,0.9496362907221376,0.0842186937034296,0.865417597018708,amlookout,angry,False
6,MFBfaMCt,first choice,0.5033471846392171,0.3620704123794909,0.865417597018708,amlookout,angry,False
7,MFBfaMCt,mean choice,0.8059311985634372,0.05948639845527082,0.865417597018708,amlookout,angry,False
8,MFBfaMCt,lastChoiceWeighted,0.917219472925751,0.051801875907042993,0.865417597018708,amlookout,angry,False
9,MFBfaMCt,firstChoiceWeighted,0.6742759122689757,0.19114168474973237,0.865417597018708,amlookout,angry,False
10,MFBfaMCt,last choice,0.5725219960820698,0.17308041585961953,0.7456024119416893,veteranstoday,angry,False
11,MFBfaMCt,first choice,0.5033471846392171,0.24225522730247218,0.7456024119416893,veteranstoday,angry,False
12,MFBfaMCt,mean choice,0.5502075407779238,0.19539487116376553,0.7456024119416893,veteranstoday,angry,False
13,MFBfaMCt,lastChoiceWeighted,0.5804755055083333,0.16512690643335604,0.7456024119416893,veteranstoday,angry,False
14,MFBfaMCt,firstChoiceWeighted,0.5174849859640583,0.22811742597763096,0.7456024119416893,veteranstoday,angry,False
15,MFBfaMCt,last choice,0.5613647684299968,0.002118543912277837,0.5634833123422747,Jerusalem_Post,angry,True
16,MFBfaMCt,first choice,0.5078100757000463,0.05567323664222834,0.5634833123422747,Jerusalem_Post,angry,True
17,MFBfaMCt,mean choice,0.5859106692645575,0.022427356922282815,0.5634833123422747,Jerusalem_Post,angry,True
18,MFBfaMCt,lastChoiceWeighted,0.5878552146553473,0.024371902313072624,0.5634833123422747,Jerusalem_Post,angry,True
19,MFBfaMCt,firstChoiceWeighted,0.5649032034853685,0.001419891143093821,0.5634833123422747,Jerusalem_Post,angry,True
20,MFBfaMCt,last choice,0.49442140251755873,0.010016112326116433,0.4844052901914423,nypost,angry,False
21,MFBfaMCt,first choice,0.6930200547244584,0.20861476453301608,0.4844052901914423,nypost,angry,False
22,MFBfaMCt,mean choice,0.5966959893282281,0.1122906991367858,0.4844052901914423,nypost,angry,False
23,MFBfaMCt,lastChoiceWeighted,0.5863520540947493,0.10194676390330704,0.4844052901914423,nypost,angry,False
24,MFBfaMCt,firstChoiceWeighted,0.6095247576798241,0.12511946748838176,0.4844052901914423,nypost,angry,False
25,MFBfaMCt,last choice,0.5970678969166304,0.04556610308205766,0.5515017938345728,MotherJones,angry,False
26,MFBfaMCt,first choice,0.5033471846392171,0.048154609195355635,0.5515017938345728,MotherJones,angry,False
27,MFBfaMCt,mean choice,0.6022746031542645,0.05077280931969175,0.5515017938345728,MotherJones,angry,False
28,MFBfaMCt,lastChoiceWeighted,0.6124428018349817,0.060941008000408914,0.5515017938345728,MotherJones,angry,False
29,MFBfaMCt,firstChoiceWeighted,0.5815458637215486,0.030044069886975833,0.5515017938345728,MotherJones,angry,False
30,MFBfaMCt,last choice,0.7175659555590189,0.1349122136044213,0.5826537419545976,opednews,angry,True
31,MFBfaMCt,first choice,0.5792163326733136,0.0034374092812839985,0.5826537419545976,opednews,angry,True
32,MFBfaMCt,mean choice,0.6844130505357163,0.1017593085811187,0.5826537419545976,opednews,angry,True
33,MFBfaMCt,lastChoiceWeighted,0.6763639077295779,0.09371016577498026,0.5826537419545976,opednews,angry,True
34,MFBfaMCt,firstChoiceWeighted,0.6888600026998999,0.10620626074530226,0.5826537419545976,opednews,angry,True
35,MFBfaMCt,last choice,0.8559155784447243,0.08635012948763121,0.7695654489570931,InvestWatchBlog,angry,True
36,MFBfaMCt,first choice,0.6684741538898977,0.10109129506719539,0.7695654489570931,InvestWatchBlog,angry,True
37,MFBfaMCt,mean choice,0.7086401734373606,0.06092527551973248,0.7695654489570931,InvestWatchBlog,angry,True
